Ute	temp	4.1	2015-03-02 15:02:51
Ute oppe	temp	5.2	2015-03-02 15:03:27
Ute oppe	humidity	76	2015-03-02 15:03:27
Ute	temp	3.9	2015-03-02 15:13:15
Ute oppe	temp	5.3	2015-03-02 15:13:50
Ute oppe	humidity	76	2015-03-02 15:13:50
Ute	temp	3.6	2015-03-02 15:23:39
Ute oppe	temp	5.0	2015-03-02 15:24:14
Ute oppe	humidity	76	2015-03-02 15:24:14
Ute	temp	3.7	2015-03-02 15:34:03
Ute oppe	temp	5.0	2015-03-02 15:34:38
Ute oppe	humidity	76	2015-03-02 15:34:38
Ute	temp	3.4	2015-03-02 15:44:29
Ute oppe	temp	4.8	2015-03-02 15:45:02
Ute oppe	humidity	77	2015-03-02 15:45:02
Ute	temp	3.1	2015-03-02 15:54:51
Ute oppe	temp	4.6	2015-03-02 15:55:26
Ute oppe	humidity	77	2015-03-02 15:55:26
Ute	temp	3.0	2015-03-02 16:05:15
Ute oppe	temp	4.4	2015-03-02 16:05:50
Ute oppe	humidity	78	2015-03-02 16:05:50
Ute	temp	2.9	2015-03-02 16:15:39
Ute oppe	temp	4.2	2015-03-02 16:16:14
Ute oppe	humidity	79	2015-03-02 16:16:14
Ute	temp	2.6	2015-03-02 16:26:03
Ute oppe	temp	3.9	2015-03-02 16:26:38
Ute oppe	humidity	80	2015-03-02 16:26:38
Ute	temp	2.3	2015-03-02 16:36:27
Ute oppe	temp	3.7	2015-03-02 16:37:02
Ute oppe	humidity	81	2015-03-02 16:37:02
Ute	temp	2.2	2015-03-02 16:46:51
Ute oppe	temp	3.5	2015-03-02 16:47:26
Ute oppe	humidity	82	2015-03-02 16:47:26
Ute	temp	2.1	2015-03-02 16:57:15
Ute oppe	temp	3.2	2015-03-02 16:57:50
Ute oppe	humidity	83	2015-03-02 16:57:50
Ute	temp	1.8	2015-03-02 17:07:40
Ute oppe	temp	3.0	2015-03-02 17:08:14
Ute oppe	humidity	83	2015-03-02 17:08:14
Ute	temp	1.8	2015-03-02 17:18:04
Ute oppe	temp	2.8	2015-03-02 17:19:17
Ute oppe	humidity	85	2015-03-02 17:19:17
Ute	temp	1.8	2015-03-02 17:28:27
Ute oppe	temp	2.7	2015-03-02 17:29:42
Ute oppe	humidity	86	2015-03-02 17:29:42
Ute	temp	1.7	2015-03-02 17:38:51
Ute oppe	temp	2.7	2015-03-02 17:40:06
Ute oppe	humidity	86	2015-03-02 17:40:06
